id,source,text,
920,"О. Э. Мандельштам, 'Шум времени', 1923, НКРЯ.","Заблудившись на женских хорах, я пробирался, как татьь прячась за стропилами.",
921,"Епископ Игнатий (Брянчанинов), 'О прелести', 1846, НКРЯ.","Не должно б было обращать никакого внимания на слова его; знаю я, что он тать и убийца.",
922,"Куприн, 'Олеся'.","Мне казалось, что ты меня таким далеким, чужим человеком считаешь, что даже простую дружескую услугу тебе от меня трудно принять.",
923,"Пушкин, 'Евгений Онегин', 1831.","Она езжала по работам, // Солила на зиму грибы, // Вела расходы, брила лбы, // Ходила в баню по субботам, // Служанок била осердясь — // Все это мужа не спросясь.",
924,"Пушкин, 'Арап Петра Великого', 1827.","Господа откушали, — отвечала служанка; встают изо стола.",
925,"Пушкин, 'Метель', 1831.",Служанка несла за нею два узла.,
926,"'Очень необычный цветник' // Сад своими руками, 2003, НКРЯ.",На заднем плане столь неординарных грядок красуются ажурные зонтики укропа и высокие стебли мальвы с розовыми граммофонами цветов.,
927,"В. П. Беляев, 'Старая крепость', 1940, НКРЯ.","Это значит, что скоро тетушка на обед для нас будет готовить обсыпанную укропом и политую сметаной вареную молодую картошку.",
928,"Сергей Синельников и др., 'Архиерейские грузди, нет сопливей!' // Петербургский Час пик, 2003, НКРЯ.","Дно бочки посыпают слоем соли, укладывают грибы рядками, шляпками вниз, пересыпая солью. Надо также положить стебли укропаа дубовые листья, листья смородины, горошины душистого перца.",
929,"Новиков Н. И., 'О поэзии классицизма', 1769-1770, НКРЯ.","Эскулап, желая услужить Диане, воскресил Ипполита; за сие рассердился на него Плутон.",
930,"Сергей Лесков, 'Плутон еще не виден. Самая далекая планета Солнечной системы становится роднее', 2002, НКРЯ.","Сейчас Плутон убегает от Солнца, температура на нем падает.",
931,"Лермонтов, 'Герой нашего времени', 1839-1841, НКРЯ.","Мы с Печориным сидели на почётном месте, и вот к нему подошла меньшая дочь хозяина, девушка лет шестнадцати, и пропела ему… как бы сказать?.. вроде комплимента.",
932,"Давид Самойлов, 'Общий дневник', 1977-1989, НКРЯ.",А на закате бесчисленные стаи галок поднимались с гнезд в окрестных садах и кружились с криком на фоне багряного неба.,
933,"Феликс Кузнецов, 'Шолохов и ""анти-Шолохов""' // Наш современник, 2004, НКРЯ.","…Этот развернутый троп взят автором в квадратные скобки, начертанные красным карандашом, а сбоку помечен синей галкой и волнистой красной линией….",
934,"Тургенев, 'Вильгельм Телль', 1843, source.","Дух (личность) переводчика веет в самом верном переводе, и этот дух должен быть достоин сочетаться с духом им воссозданного поэта.",
935,"Михаил Шолохов, 'Тихий Дон'.","Наполнена волна в тихом Дону отцовскими, материнскими слезами.",
936,"Виктор Доценко, 'Срок для Бешеного', 1993, НКРЯ.","Одна пуля попала в спину Васо, другая размозжила ему голову… Смерть наступила мгновенно.",
937,"Василий Гроссман, 'Жизнь и судьба', 1960, НКРЯ.","Деревняя расположенная в двух километрах от аэродрома, лежала словно в золе, тёмная, притихшая.",
938,"Бунин, 'Грамматика любви', 1915, НКРЯ.","К графу будем заезжать? - спросил малый, не оборачиваясь, когда впереди показалась деревняя замыкавшая горизонт своими лозинами и садом.",
939,"'В спасении деревни - безопасность страны' // Жизнь национальностей, 2004, НКРЯ.",Деревня не случайно считалась кормилицей бурно развивающейся страны.,
940,"'Вы нужны русскому народу' // Наш современник, 2004, НКРЯ.","Они всячески старались унизить меня: «Куда ты лезешь, деревня? Такой вуз не по твоим зубам. Шел бы ты в ПТУ».",
941,"'Песня', Даль.","У мещанина новая деревня(изба), великая семья….",
942,"Сергей Синельников, Татьяна Соломоник, Илья Лазерсон, 'Архиерейские грузди, нет сопливей!', 2003, НКРЯ.","Для соления подходят пластинчатые грибы: рыжики, волнушки, свинушки, грузди, сыроежки, лисички, валуи, опята и другие.",
943,"Л.И. Шустова, 'Путешествие по стране Агрос // ""Биология""', 2003, НКРЯ.","Хорошую службу сослужил рыжик в войну, когда масла не хватало, - тогда и стали расширять рыжиковые поля в Сибири и на Урале.",
944,"К. Г. Паустовский, 'Орест Кипренский', 1936, НКРЯ.",По́здней о́сенью 1836 го́да в у́стье Невы про́тив Гале́рного о́строва бро́сил я́корь гря́зный италья́нский кора́бль.,
945,"Владимир Лукашик, Елена Иванова., 'Сборник задач по физике. 7-9 кл.', 2003, НКРЯ.","Как узна́ть, в како́м направле́нии враща́ется я́корь э́того электродви́гателя, е́сли око́шко кофемо́лки закры́то и разбира́ть её нельзя́?.",
946,"Абдулла Магомедов, 'Ас-минометчик', 2004, НКРЯ.",Противник обстреливал наших солдат из пулеметовв артиллерийских минометов и бомбил с воздуха.,
947,"Достоевский, 'Игрок'.","Я вот Дрезден проехал и не помню, какой такой Дрезденн.",
948,"Павлов И.П., 'Лекции по физиологии', 1911-1913, НКРЯ.","Итак, перед вами факт, что и околоушная железа выделяет слюну разного химического состава в зависимости от раздражителей полости рта.",
949,"Салтыков-Щедрин, 'История одного города', 1869-1870.","После этого каждый поросёнок будет тебе в глаза лгать, что он не поросёнок, а только поросячьими духами прыскается!.",
950,"Н. А. Лейкин, 'Из записной книжки отставного приказчика Касьяна Яманова', 1874, НКРЯ.","Точно, говорят, нам нужен приказчик, но ты не годишься; во-первых, потому, что у тебя нос красный, а во-вторых, нам нужно такого приказчика, чтобы был с бакенбардами, не ел луку, потому что пахнет, а также чтоб одевался по моде и душился духамии.",
951,"Н. А. Лейкин, 'В Биржевом сквере', 1879.","Благородные дамы из генеральш завсегда или птицу учат, или собаку в морду целуют, а вокруг себя велят духами накурить.",
952,"Л. Н. Андреев, 'Москва. Мелочи жизни', 1901-1902, НКРЯ.","Не умалчивают они и о недостатках своего соперника: если он умён, доказывают его глупостьь если он дурак, изображают его безнадежным идиотом.",
953,"Р. В. Иванов-Разумник, 'Тюрьмы и ссылки', 1934-1944, НКРЯ.","Однако, несмотря на всю свою глупостьь он, конечно, досмотрел бы неприемлемость этой возмутительной странички, если бы прочел её.",
954,"Г. C. Эфрон, 'Дневники. Т. 1. 1941', 1941, НКРЯ.","Мать начинает понимать весь идиотизм, глупость и сумасшествие всей этой её затеи.",
955,"Вадим Громов, 'Компромат для олигарха', 2000, НКРЯ.","Врач замолчал на полуслове, увидев улыбку на лице Осинского, и понял, что сказал глупость.",
956,"Чехов, 'Не судьба!', 1885-1886, НКРЯ.","Правду сказал на прошлом земском собрании граф Дублеве, что земские мосты построены для испытания умственных способностей: ежели человек объехал мост, то, стало быть, он умный, ежели же взъехал на мостик и, как водится, шею сломал, то дуракк.",
957,"Тэффи, 'Игра', 1910, НКРЯ.","― Сижу, как дуракк и жду, а денег всё равно не заплатят.",
958,"Стругацкие, 'Трудно быть богом', 1963, НКРЯ.","Выражение интереса немедленно исчезло с лиц присутствующих, ибо каждому было известно, что дон Сэра ― знаменитый дурак и враль.",
959,"Петр Акимов, 'Плата за страх', 2000, НКРЯ.","Воцарилась темнотаа просвеченная светом сверху, потом хлопнул люк, и мрак стал абсолютным.",
960,"Валерий Брюсов, 'Обручение Даши', 1913, НКРЯ.","Молодцы поспешно надевают картузы или шапки, на окна наставляются ставни, в лавке сразу наступает темнотаа.",
961,"Д.В. Григорович, 'Город и деревня', 1892, НКРЯ.",Ливень продолжал лить; ветер шумел в деревьях; темнота по-прежнему мешала различать дорогу.,
962,"Юрий Петкевич, 'Явление ангела', 2001, НКРЯ.",Когда наступила темнотаа Сысоев явился на старую мельницу.,
963,"Вера Белоусова, 'По субботам не стреляю', 2000, НКРЯ.","Представьте себе: сначала темнотаа пока глаза не привыкнут, только свечка какая-то горит где-то сбоку или лампочка.",
964,"Анатолий Мельник, 'Авторитет', 2000, НКРЯ.",После яркого света фар резко наступила темнотаа.,
965,"Андрей Битов, 'Азарт, или Неизбежность ненаписанного', 1997-1998, НКРЯ.",Темнота моего поколения была мне известна и оправдана своею собственною.,
966,"Марианна Баконина, 'Девять граммов пластита', 2000, НКРЯ.","Это не дурацкая песня, а Окуджава, темнотаа - обиделся Серёга.",
967,"Сергей Довлатов, 'Заповедник', 1983, НКРЯ.",Уникальная память и безмерная жаждазнаний - в сочетании - творили чудеса.,
968,"Николай Бердяев, 'Новое средневековье', 1924, НКРЯ.","Моя жаждабеспредельной свободы должна быть понята как моя распря с миром, а не с Богом.",
969,"Чехов, 'Неосторожность', 1887.","Ему показалось, что вместо водки он проглотил кусок динамитаа который взорвал его тело, дом, весь переулок….",
970,"Гарин-Михайловский, 'Клотильда'.","Солдатики придумали себе и другое употребление из динамитаа Зажигая фитиль, они бросали патрон динамитный в воду, и когда раздавался выстрел, то поверхность воды покрывалась массой оглушённой рыбы.",
971,"Аверченко, 'Мозаика'.","У меня плохая память, я очень рассеянный, а у меня в голове должен находиться целый арсенал таких вещей, которые, если тебе рассказать, привели бы тебя в изумление. Кое-что я, правда, записываю, но это помогает лишь отчасти.",
972,"И. И. Петрункевич, 'Интеллигенция и «Вехи» (вместо предисловия)', 1910, НКРЯ.","Такое настроение интеллигенции, утверждает г. Булгаков, коренится в психологии правосла́вияя которое оставило глубокий след в лучших чертах интеллигенции.",
973,"Крупномеры — крупным планом, '', НКРЯ.","Из лиственных пород в зрелом возрасте хорошо переносят пересадку липа, различные виды клена, орех маньчжурский, каштан конский, рябинаа черемуха, плодовые деревья (слива, яблоня, груша).",
974,"Приятного аппетита, '2003', НКРЯ.",Хороша рябина и с яблоками мочеными.,
975,"'Знакомьтесь: электропоезд ЭД6' // Локомотив, 2001, НКРЯ.","Первые результаты наблюдений за работой систем и оборудования подтверждают технико-экономические параметры, заложенные в проекте, а также эффективность его использования в пригородных и местных сообщениях.",
976,"'Знакомьтесь: электропоезд ЭД6' // Локомотив, 2001, НКРЯ.","Эффективность электропоездов может возрасти при внедрении систем бесконтактного регулирования на базе полупроводниковых преобразователей, обеспечивающих плавный безреостатный пуск и рекуперативное торможение практически до остановки поезда.",
977,"Тургенев, 'Фауст рассказ в девяти письмах', 1856, НКРЯ.","Любовь все-таки эгоизм; а в мои годы эгоистом быть непозволительно: нельзя в тридцать семь лет жить для себя; должно жить с пользой, с целью на земле, исполнять свой долг, свое дело.",
978,"В. А. Соллогуб, 'Старушка', 1850, НКРЯ.","Почти неизбежный порок старости - эгоизм - развился у графини в страшных размерах, и надо заметить, что эгоизм такой порок, который всегда находит для себя пристойную личину, не только что извинение.",
979,"А. П. Чехов, 'Рассказ неизвестного человека', 1893, НКРЯ.","Все опыты, известные нам из повседневной жизни и занесённые на скрижали бесчисленных романов и драм, единогласно подтверждают, что всякие адюльтеры и сожительства у порядочных людей, какова бы ни была любовь вначале, не продолжаются дольше двух, а много - трёх лет.",
980,"А. И. Куприн, 'Одиночество', 1898, НКРЯ.","Они были женаты уже три месяца - именно такой срок, после которого молодые супруги особенно охотно посещают театры, гулянья и балы, где, затерявшись в толпе чужих людей, они глубже и острее чувствуют взаимную близость, обратившуюся в привычку за время медового месяца.",
981,"Ф. М. Достоевский, 'Идиот', 1869, НКРЯ.",Семейство генерала состояло из супруги и трёх взрослых дочерей.,
982,"Л. Н. Толстой, 'Анна Каренина.'.","Жена узнала, что муж был в связи с бывшею в их доме француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме.",
983,"Петр I, 'Регламент или устав главного магистрата', 1721, НКРЯ.","Во оном сколько жителей мужеска и женска пола, и у них детей, при них обоего пола служителей, и у них детей же, и холостых и незамужних жённ и чем оные питаются, также сколько есть налицо убогих, больных и дряхлых, сирот, которые не могут питатися, и коим образом они содержатся.",
984,"Л. Н. Толстой, 'Анна Каренина.'.","Жена узнала, что муж был в связи с бывшею в их доме француженкою-гувернанткой, и объявила мужуу что не может жить с ним в одном доме.",
985,Конфуций.,Благородный муж постигает справедливость. Малый человек постигает выгоду.,
986,"Пушкин, 'Сказка о царе Салтане'.",Белка песенки поёт да орешки всё грызёт.,
987,"М. А. Булгаков, 'Мастер и Маргарита', 1929-1940, НКРЯ.","Но и их сморила жара, и они легли, высунув языки, тяжело дыша и не обращая никакого внимания на зеленоспинных ящерицц единственных существ, не боящихся солнца и шныряющих меж раскалёнными камнями и какими-то вьющимися по земле растениями с большими колючками.",
988,"Л. Н. Толстой, 'Анна Каренина', 1878, НКРЯ.","Определённого ничего не было, но Степана Аркадьича никогда почти не было дома, денег тоже никогда почти не было дома, и подозрения неверностей постоянно мучали Долли, и она уже отгоняла их от себя, боясь испытанных страданий ревностии.",
989,"К. М. Станюкович, 'Похождения одного благонамеренного молодого человека, рассказанные им самим', 1879, НКРЯ.","Эта светская барыня, третировавшая меня днём, была моей послушной любовницей ночью, делала сцены ревностии когда я пропускал одну ночь, говорила, что только в моих ласках она поняла счастие любви.",
990,"Ф. М. Достоевский, 'Братья Карамазовы', 1880, НКРЯ.","О ревности своей говорил он горячо и обширно и хоть и внутренно стыдясь того, что выставляет свои интимнейшие чувства, так сказать, на «всеобщий позор», но видимо пересиливал стыд, чтобы быть правдивым.",
991,"П. А. Вяземский, 'Старая записная книжка', 1830-1870, НКРЯ.","Добро бы ещё, если б действовали в них соперничество, ревностьь совместничество, что французы называют jalous ie de metier [профессиональная зависть].",
992,"Ф. М. Достоевский, 'Подросток', 1875, НКРЯ.","О, мы тогда все кипели ревностью делать добро, служить гражданским целям, высшей идее; осуждали чины, родовые права наши, деревни и даже ломбард, по крайней мере некоторые из нас….",
993,"П. И. Мельников-Печерский, 'На горах', 1875-1881, НКРЯ.","Обстоятельный был человек, благочестивый, к истинной, старой, значит, вере большую ревность имел.",
994,"М. Е. Салтыков-Щедрин, 'Господа Головлевы', 1875-1880, НКРЯ.",С усиленною ревностью принялась Арина Петровна за прерванные хозяйственные занятия….,
995,"Лесков, 'Неразменный рубль', 1894.","Рубль возвращается, это правда. Это его хорошее свойствоо — его также нельзя и потерять; но зато у него есть другое свойствоо очень невыгодное: неразменный рубль не переведётся в твоём кармане до тех пор, пока ты будешь покупать на него вещи, тебе или другим людям нужные или полезные, но раз что ты изведешь хоть один грош на полную бесполезность — твой рубль в то же мгновение исчезнет.",
996,"Чехов, 'Утопленник', 1885.",Если вас тревожат соображения материального свойстваа то спешу вас успокоить… С вас я возьму недорого….,
997,"Чехов, 'Интриги', 1887.",От низкого уровня знаний я незаметно перешёл к погрешностям этического свойстваа.,
998,"Достоевский, 'Петербургская летопись'.","Нередко же действительность производит впечатле́ние тяжёлое, враждебное на сердце мечта́теля, и он спешит забиться в свой заветный, золотой уголок.",
999,"Владимир Кунин, 'Кыся', 1998, НКРЯ.","У голландского рефрижератора была разбита вся задняя стенка так, что виднелись все потроха до передней стены фургона.",
1000,"Вальтер Запашный, 'Риск. Борьба. Любовь', 2004, НКРЯ.","И, если честно, мне нужно от тебя только одно ― согласие на совместную работу.",
1001,"А. M. Клейман, 'Осторожно: промышленная собственность!' // Мясная индустрия, 2004, НКРЯ.","Теперь авторы знают, что без их согласия использовать авторские разработки запрещено.",
1002,"Д. В. Давыдов, 'Мороз ли истребил французскую армию в 1812 году?', 1835, НКРЯ.","Читая представленные мною выписки, можно ясно видеть согласие всех историков кампании насчёт причин события.",
1003,"А. Н. Радищев, 'О человеке, о его смертности и бессмертии', 1796, НКРЯ.","Однако же примечаем мы в сложении целого благогласие или согласиее соразмерность, хотя в частях его нет ни того, ни другого.",
1004,"'Джим Кэрри - изнутри и снаружи' // Экран и сцена, 2004, НКРЯ.",Мне нравится фантастический элемент этой истории.,
1005,"Ольга Громова, 'Комнатный фонтанчик - полезная забава' // Сад своими руками"", 2002, НКРЯ.","Основной элемент будущей декоративной композиции - это горка для водопада, изготовленная из шамотной глины.",
1006,"А. А. Зализняк, 'Лингвистика по А. Т. Фоменко', НКРЯ.","За это время язык испытывает непрерывное постепенное изменение: каждый его элемент проходит определённую эволюцию, сложным образом сопряжённую с эволюцией всех прочих элементовв.",
1007,"Сергей Довлатов, 'Наши', 1983, НКРЯ.",Стихи увлекали его как элемент театрального представления.,
1008,"А. И. Деникин, 'Очерки русской смуты. Том IV. Вооруженные силы Юга России', 1922, НКРЯ.","Большая часть из них (до 70 процентов) сражались хорошо, 10 процентов пользовались первыми же боями, чтобы перейти к большевикам, и 20 процентов составляли элементт под разными предлогами уклоняющийся от боёв.",
1009,"Збигнев Бжезинский, 'Великая шахматная доска', 1998.",На Евразию приходится 75 процентов населения Земли и 75 процентов энергитических запасов. В целом потенциальная мощь Евразии превосходит мощь США.,
1010,"Виктор Конецкий, 'Вчерашние заботы', 1979, НКРЯ.","И вот линейный ледокол пятится кормой к маленькому лесовозу, а вдоль бортов у него встают на ребро двухметровые льдины.",
1011,"Анастас Микоян, 'Так было', 1971-1974, НКРЯ.","Пробиваясь через ледовую целину, через неделю ледокол прибыл на Гурьевский рейд к месту стоянки замерзших судов.",
1012,"Б. В. Некрасов, 'Основы общей химии'.",Организм взрослого человека содержит около 4 г железаа из которых приблизительно 57% входит в состав гемоглобина.,
1013,"А. А. Антонов, ' Минералогия родингитов Баженовского гипербазитового массива ', 2003, НКРЯ.","Расчёт атомных количеств элементов в составе данного граната позволяет предположить, что всё железоо присутствующее в минерале, находится в трехвалентном состоянии.",
1014,"Конвертер в связке с электропечью. Новые возможности сталеплавильного передела, 'Металлы Евразии', 2004, НКРЯ.","Мировая практика показывает, что в электросталеплавильном производстве для получения высококачественных марок стали применение чугуна имеет большие преимущества по сравнению с использованием других чистых загружаемых материалов, таких, как губчатое железоо.",
1015,"М. Ю. Лермонтов, 'Герой нашего времени', 1839-1841, НКРЯ.","― Меня? ― крикнул Азамат в бешенстве, и железо детского кинжала зазвенело об кольчугу.",
1016,"Булгаков, ' Мастер и Маргарита', 1929-1940, НКРЯ.","Прокатился такой звук, какой бывает, когда с грузовика сбрасывают на землю листовое железо.",
1017,"Пушкин, 'Вольность'.","Увы! куда ни брошу взор - // Везде бичи, везде железыы // Законов гибельный позор, // Неволи немощные сле́зы….",
1018,"Короленко, 'Мороз', 1900-1901, НКРЯ.","Огромная льдинаа плывшая впереди той, на которой стояли козы, стала как будто замедлять ход и потом начала разворачиваться, останавливая движение задних.",
1019,"'Пищевые добавки для обогащения мясных продуктов' // Мясная индустрия, 2004, НКРЯ.","Среди перечисленных составляющих особого внимания заслуживает молочный белок копреципитат - продукт совместного осаждения казеина и сывороточных белков, получаемых путем термокислотной коагуляции.",
1020,"Алексей Самура, 'Ничья вслепую. Герои и неудачники 21-го тура первенства страны по футболу' // Известия, 2002, НКРЯ.","Поведя в счёте, «Локомотив» вновь впал в анабиоз и в таком состоянии умудрился довести счёт до крупного, когда арбитр во второй раз назначил пенальти в ворота «Ростсельмаша».",
1021,Пушкин.,Старый инвалид… нашивал синюю заплату на локоть зелёного мундира.,
1022,Лесков.,С ветру пришлого человека без рекомендации не берут в дом.,
1023,"Стругацкие, 'Понедельник начинается в субботу', 1964, НКРЯ.","Некоторое время я ждал, пока прана усвоится, и в соответствии с рекомендацией думал о светлом и радостном.",
1024,"Лев Толстой, 'Альберт', 1858.","Альберт, не отвечая, вскочил, схватил скрипку и начал играть финал первого акта «Дон-Жуана», своими словами рассказывая содержание оперы.",
1025,"Достоевский, 'Игрок', 1866.","Во всяком случае, я предчувствовал, что подходит финал всего этого таинственного и напряжённого состояния. Еще один удар — и всё будет кончено и обнаружено.",
1026,"Сати Спивакова, 'Не всё', 2002, НКРЯ.","В ней удивительно сочетались эксцентричность, аристократизм, тонкость, широта, энергия и авантюризм.",
1027,Крылов.,Дуги гнут с терпеньем и не вдруг.,
1028,Крылов.,Чего не сделаешь терпеньем и трудом?.,
1029,"С.Довлатов, 'Заповедник'.","У меня есть цветная открытка - ""Псковские дали"". И вот я оказался здесь. Мне хочется спросить - это дали? - В общем-то, далии - говорю.",
1030,"Шолохов, 'Тихий Дон. Книга четвёртая', 1928-1940, НКРЯ.","Движимая состраданиемм Аксинья потянулась через плетень, обняла Дуняшку, крепко поцеловала ее в щеку.",
1031,"Н. П. Вагнер, 'Сказки Кота-Мурлыки', 1872, НКРЯ.","Но когда он лежал беспомощно на моей груди, измученный и разбитый болью, когда он засыпал на этой груди, обессиленный страданьем, то чувство ненависти во мне смягчалось, стихало ― и я чувствовал только одно состраданиее.",
1032,"Лермонтов, 'Вадим', 1833, НКРЯ.","Вадим, сказал я, почувствовал сострадание к нищим и остановился, чтобы дать им что-нибудь; вынув несколько грошей, он каждому бросал по одному.",
1033,"Фазиль Искандер, 'Понемногу о многом' // Новый Мир, 2000, НКРЯ.","Мы порой скрываем от человека правду из жалости к нему, из нежелания унизить его.",
1034,"Юрий Бондарев, 'Горячий снег', 1969, НКРЯ.","При отступлении под Рославлем Кузнецов видел раз, как солдаты из жалости пристреливают раненых лошадей, переставших быть тягловой силой.",
1035,"Людмила Улицкая, 'Путешествие в седьмую сторону света' // Новый Мир, 2000, НКРЯ.","Братья показались ей ужасными ― они стали совсем деревенскими, в рванине, босые и чумазые, дрались и матерились, как взрослые мужики. В Томе они не вызвали ни сочувствия, ни жалостии А уж о любви и речи быть не могло.",
1036,"В. Я. Шишков, 'Емельян Пугачев', 1934-1939, НКРЯ.","Барыня милостиво улыбнулась и, приняв из рук лакея клубнику со взбитыми сливками, протянула эту сладость Пугачеву.",
1037,"Эдвард Радзинский, 'Она в отсутствии любви и смерти', 1981, НКРЯ.","В ванную входит Его жена: лицо заплаканное, долго моет лицо, потом начинает накладывать маску из клубникии.",
1038,"Владимир Солоухин, 'Третья охота', 1967, НКРЯ.","Садовая земляника, то, что в обиходе мы называем «клубника» и что горами лежит на базарах, во много раз крупней лесной.",
1039,"И. А. Архипова, 'Музыка жизни', 1996, НКРЯ.",Именно на этих опушках и прогреваемых солнцем полянках росло много земляникии которую дедушка скашивал вместе с травой.,
1040,"Аркадий Гайдар, 'Тимур и его команда', 1940, НКРЯ.","Он сунул малышу в рот горсть земляникии всучил ему в руки блестящее перо из крыла галки, и вся четверка рванулась укладывать дрова в поленницу.",
1041,"М. П. Бронштейн, 'Солнечное вещество', 1936, НКРЯ.","Газовые фонтаны — явление довольно обычное в тех местах, где в земле есть нефть.",
1042,"Циолковский, 'Горе и гений', 1916, НКРЯ.","Изобретатели паровой машины, ветряной и водяной мельницы заставили работать природу на пользу человека, результатом чего явились неисчислимые и неоспоримые выгоды в виде, например, целых гор жизненных продуктов.",
1043,"Дорошевич, 'Очаровательное горе'.","Вы, может быть, думаете, что это вымысел? Нет, я познакомил вас с посетительницей, которая, действительно, только что вышла из моей комнаты.",
1044,"Антоний (Блум), митрополит Сурожский, 'Брак, монашество, церковь', НКРЯ.","В брачной жизни мы говорим о верности брачной, и это, в сущности, тоже обет такой устойчивости (я говорю сейчас, конечно, не о тех браках, которые являются результатомслучайности, а о таких, которые являются результатомзрелого выбора).",
1045,"Стругацкие, 'Понедельник начинается в субботу', 1964.","Получив нетривиальный результат, они шарахаются от него, поспешно объясняют его нечистотой эксперимента и фактически уходят от нового, потому что слишком сжились со старым, уютно уложенным в пределы авторитетной теории.",
1046,"Стругацкие, 'За миллиард лет до конца света', 1974.","Странные события с ним начались, оказывается, еще две недели назад, когда серия опытов, заложенная в прошлом году, стала вдруг давать результатысовершенно неожиданного и даже сенсационного свойства. … А лаборатория тем временем, несмотря на скандальчики, продолжала выдавать на-гора результатыодин другого поразительнее.",
1047,"Стругацкие, 'Жук в муравейнике', 1979.","Именно в результате этой секретности доктор имярек, получивший уникальные результатыпо антропометрии и физиологии кроманьонцев (при чем тут кроманьонцы?), вынужден был держать эти результатыпод спудом, тормозя таким образом развитие палеоантропологии.",
1048,"'Динамика естественного возобновления леса в очагах массового размножения сибирского шелкопряда' // Лесное хозяйство, 2004, НКРЯ.",В целом даже при самых благоприятных условиях естественное восстановление кедровых насаждений затянется еще более чем на 100 лет.,
1049,"Юрий Домбровский, 'Обезьяна приходит за своим черепом', 1943, НКРЯ.","Затем была проделана работа по восстановлению облика всех первобытных рас, открытых за тридцать лет работы института.",
1050,"Лев Толстой, 'Три притчи', 1895.","Хозяйка эта всю свою жизнь занималась приготовлением пищи и хотя и не была знаменитой поварихой, но хорошо умела печь хлебы́ и вкусно варить обеды.",
1051,"Зоя Масленикова, 'Жизнь отца Александра Меня', 1992, НКРЯ.","Лишь на секунду ты останавливаешь свой взгляд на мне, и я называю тебя по имени, и мне кажется, что, если бы явился архангел с белыми крыльями, в нем было бы меньше нежности.",
1052,Даль.,"Весною ветер дует из темени, а осенью из ясении.",
1053,"Пушкин, 'Станционный смотритель', 1831.","Дуня обвязала ему голову платком, намоченным уксусомм и села с своим шитьём у его кровати.",
1054,"П. С. Романов, 'Русская душа', 1920-1928, НКРЯ.","А Варя, наклонив горшочек с маринадом, нацеживала в ложку маринадного уксуса и пила.",
