id,source,text
5795,"Анненков Юрий, 'Дневник моих встреч', 1966, НКРЯ","Известный {{выдел|языковед}} и профессор филологии Жирмунский говорил своим ученикам: «Первые восемнадцать языков очень трудно изучить, но зато потом - все остальные языки сами входят в рот»."
5796,"Игорь Дьяконов, 'Книга воспоминаний', 1995, НКРЯ","Но, молча, я слушал и мысленно производил лексическую классификацию, как {{выдел|языковед}}."
5797,"Гиляровский, 'Москва и москвичи'","И ещё подал карточку с перечислением кавказских блюд, с подписью: шашлычник Георгий Сулханов, племянник князя Аргутинского-Долгорукова…"
5798,"Чехов, 'Протекция'","Носа у меня никогда такого длинного не было, как на карточке вышло. Я и постыдился свою карточку в альбом вставлять."
5799,"Елена Хаецкая, 'Синие стрекозы Вавилона', 2004, НКРЯ","Он же, подлец, голодом нас морил, а сам с работы полные сумки жратвы таскал..."
5800,"Владимир Козлов, 'Гопники', 2002, НКРЯ",Сходили в магазин и набрали жратвы: хлеба и консервов.
5801,"Аксаков, 'Детские годы Багрова-внука, служащие продолжением семейной хроники', 1858, НКРЯ","Выбрав места посуше, неподалеку от кауза, стали мы удить - и вполне оправдались слова отца: беспрестанно брали окуни, крупная плотва, средней величины {{выдел|язи}} и большие лини."
5802,"Гончаров, 'Обломов'","Она молчала, сорвала ветку сирени и нюхала её, закрыв лицо и нос."
5803,"Валентин Катаев, 'Алмазный мой венец', 1975-1977, НКРЯ","Как сказали бы теперь, «был забит завершающий победный гол» этого рядового гимназического матча, об окончании которого возвестил {{выдел|рефери}} сигналом принятого в то время трёхзвучного судейского свистка."
5804,"В. М. Грибовский, 'У графа Л. Н. Толстого', 1886, НКРЯ","Между тем она рассуждает, с своей точки зрения, очень правильно, и в высказываемых ею мыслях видна большая {{выдел|обдуманность}}."
5805,"Л. Н. Толстой, 'Севастопольские рассказы', 1855, НКРЯ","Выражение некрасивого с низким лбом лица этого офицера изобличало тупость умственных способностей, но притом {{выдел|рассудительность}}, честность и склонность к порядочности."
5806,"М. Е. Салтыков-Щедрин, 'Господа ташкентцы', 1869-1872, НКРЯ","Сверх того, он был ширококост и говорил таким открытым басом и с такою невозмутимою {{выдел|рассудительностью}}, как будто непрерывно проповедовал или вразумлял."
5807,"Тургенев, 'Отцы и дети', 1862, НКРЯ","Она наследовала от своей матери любовь к порядку, {{выдел|рассудительность}} и степенность; но она была так молода, так одинока; Николай Петрович был сам такой добрый и скромный…"
5808,"Ф. М. Достоевский, 'Бесы', 1871-1872, НКРЯ","Познаний, конечно, не много требовалось, чтобы нас удивить; но он мог судить и о насущных, весьма интересных темах, и, что всего драгоценнее, с замечательною {{выдел|рассудительностию}}."
5809,"Василий Гроссман, 'Жизнь и судьба', 1960, НКРЯ","На второй день пути красноармейцы, сговорившись с кочегарами, сварили в машинном отделении суп с {{выдел|пшеном}}, позвали Людмилу и ей налили в котелок супа."
5810,"К. И. Чуковский, 'Живой как жизнь (разговор о русском языке)', 1962, НКРЯ","С глубокою тоскою узнал я о литературной беседе, которую вели в библиотеке три школьника, выбиравшие интересную книгу: - Возьми эту: ценная вещь. Там один так даёт копоти! - Эту не бери! Лабуда! {{выдел|Пшено}}. - Вот эта жутко мощная книжка. [О.С. Богданова и Р.Г. Гурова, Культура поведения школьника. М., 1957, стр. 104.]"
5811,"Тургенев, 'Степной король Лир', 1870, НКРЯ","Пока я управлялся с творогом, Мартын Петрович, ласково пробурчав: «Кушай, дружок, кушай, голубчик, не брезгай нашей деревенской {{выдел|снедью}}», - опять присел в углу и опять словно задремал."
5812,"М. Е. Салтыков-Щедрин, 'За рубежом', 1880-1881, НКРЯ","В этих приютах останавливались по большей части иногородные купцы, приезжавшие в Москву по делам, с своей квашеной капустой, с солёной рыбой, огурцами и прочей солёной и копчёной {{выдел|снедью}}, ничего не требуя от гостиницы, кроме самовара, и ни за что не платя, кроме как за «тепло»."
5813,"Н. В. Гоголь, 'Тарас Бульба', 1835-1841, НКРЯ","Если человеку приходит последняя крайность, тогда, делать нечего, он должен питаться тем, чем дотоле бре́згал; он может питаться теми тварями, которые запрещены законом; всё может тогда пойти в {{выдел|снедь}}."
5814,"Сергей Осипов, 'Страсти по Фоме. Книга третья. Книга Перемен', 1998, НКРЯ","Вечно-то какая-нибудь хренотень — не обморок, так припадок!"
5815,"Вадим Громов, 'Компромат для олигарха', 2000, НКРЯ","Колодец — значит, эта хренотень внутри пустая, полая."
5816,"Виктор Астафьев, 'Затеси' // Новый Мир, 1999, НКРЯ","Коля сообщил мне, что они решили с Людмилой расписаться, хватит гулять-куролесить и всякой {{выдел|хреновиной}} заниматься, пора за ум браться."
5817,"Ф. Ф. Беллинсгаузен, 'Двукратные изыскания в Южном Ледовитом океане и плавание вокруг света в продолжение 1819, 20 и 21 годов, совершенные на шлюпах «Востоке» и «Мирном» под начальством капитана Беллинсгаузена командира шлюпа «Восток», шлюпом «Мирным» начальствовал лейтенант Лазарев', 1831, НКРЯ","Птиц разнообразных в Новой Голландии весьма много; отличаются видом и превосходными перьями, и именно: эму, или новоголландский казуар, чёрные лебеди, фазаны новоголландские, {{выдел|какаду}} белые и чёрные, несколько пород попугаев, как-то: королевские розетки синегорские; много параклитов; различных пород зимородки, некоторые значительной величины; птица, называемая аббатом, величиною с голубя, дымчатого цвета, с голою шеею и головою, на носу небольшой горб; перепёлки, голуби, вороны и многие другие."
5818,"В. П. Беляев, 'Старая крепость', 1937-1940, НКРЯ","Я вам ничего не запрещаю, можешь водить хлопцев везде, завтра мы на {{выдел|рыбалку}} пойдем вместе, только обо всем молчок."
5819,"П. П. Бажов, 'Живой огонек', 1950, НКРЯ","Ну, отпускники, которые не уехали по дальним местам, а проводят время на {{выдел|рыбалке}}, охоте либо просто в лесу и на покосах, тоже непрочь похвалиться, что ближний загар не хуже дальнего."
5820,"А. П. Чехов, 'Остров Сахалин', 1893-1895, НКРЯ","Сначала мы зашли в сарай, где 16 каторжных под руководством Василенки, бывшего таганрогского {{выдел|рыбалки}}, солили рыбу."
5821,"В. П. Катаев, 'Родион Жуков', 1925, НКРЯ","Там лежали килем вверх длинные просмоленные баркасы, сохли на шестах невода, и {{выдел|рыбалка}}, обливаясь, пил воду из плоского бочонка, задрав голову и слегка согнув колени; он увидел Родиона, замахал руками и закричал что-то, может быть очень важное."
5822,"И. А. Бунин, 'Лирник Родион', 1913, НКРЯ","В гирлах же было совсем лето, много стрекоз вилось над очеретом, много скиглило {{выдел|рыбалок}}, отражавшихся в серебристых разливах реки."
5823,"И. А. Бунин, 'Далекое', 1903-1926, НКРЯ","Пресно пахнет теплым илом, разогретой кугою; белая, как снег, {{выдел|рыбалка}} неожиданно вырывается из кочкарников и сверкает в воздухе острыми крыльями…"
5824,"Омри Ронен, 'Миф' // Звезда, 2003, НКРЯ","Корешок порван и подклеен, а {{выдел|коленкор}} так прохудился по углам, что виднеется расслоившееся ржавое бумажное нутро переплета."
5825,"В. М. Гаршин, 'Встреча', 1879, НКРЯ","Иван Павлыч бережно принёс огромный лист, наклеенный на {{выдел|коленкор}}."
5826,"Б. А. Садовской, 'Пшеница и плевелы (1936-1941)' // Новый Мир, 1993, НКРЯ","В галантерейных лавках заморские сукна: зибер, зефир, клер. Платки фуляровые, газовые вуали, муслин, {{выдел|коленкор}}."
5827,"К. Ваншенкин, 'А кто же мы все?', 2009",А кто же мы все? Поколенья ошмётки. Хотя на отдельных приличные {{выдел|шмотки}}.
5828,"Владимир Обручев, 'Земля Санникова', 1924","- Вот как в Австралии сохранились дикая собака, {{выдел|кенгуру}} и другие странные сумчатые животные, примитивные млекопитающие, бескрылые птицы и тому подобные живые окаменелости, как их называют, - пояснил Ордин."
5829,"А. П. Чехов, 'Драма на охоте', 1884, НКРЯ","Внутренний осмотр показал поранение правых лёгкого и плевры, воспаление лёгкого и {{выдел|кровоизлияние}} в полость плевры."
5830,"Н. С. Лесков, 'На ножах', 1870, НКРЯ","Подозеров остался жить, но тем не менее он остановился на самом краю гроба: легкие его были поранены, и за этим последовали и {{выдел|кровоизлияние}} в полость груди, и удушающая легочная опухоль, и травматическая лихорадка."
5831,"Н. Э. Гейнце, 'Дочь Великого Петра', 1913, НКРЯ","Не менее Бестужева падкий до денег, он набивал свои карманы трудовою {{выдел|копейкой}} народа"
5832,"К. М. Станюкович, 'Беспокойный адмирал', 1894, НКРЯ","Всякий старался зашибить {{выдел|копейку}} и поскорей «выплавать ценз», а где и на чем ― на пароходе ли, делающем рейсы между Петербургом и Кронштадтом, или на броненосцах, отстаивающихся на трандзундском рейде, ― не все ли равно?"
5833,"'Криминальная хроника' // Восточно-Сибирская правда, 1998, НКРЯ","10 июля в 5 часов утра жертвой автопиратов стали четверо тулунчан, ехавших на ВАЗ-2101 в Иркутск. В 18 километрах от Куйтуна «{{выдел|копейку}}» догнали «жигули» неустановленной модели."
5834,"Википедия, 'Кашемир'","Изделия из кашемира характеризуются лёгкостью, низкой аллергенностью, приятны на ощупь."
5835,"'«Вести СТС» (Сургут)', 1999, ЯРГ","Через два дня этот автолюбитель пришел в гараж, включил освещение, электрообогреватель в {{выдел|кессоне}} и завёл двигатель машины."
5836,"Д. В. Григорович, 'Корабль «Ретвизан»', 1863, НКРЯ","Во многих танцах существуют позы, где стан опрокидывается назад до такой степени, что плечи танцовщицы почти касаются пола; руки следуют тому же движению и трещат {{выдел|кастанье́тами}}, между тем как ножка, вытянутая вперёд, бьёт такт, но в самую ту минуту, когда вам кажется, что танцовщица изнемога́ет от усталости и едва имеет силы играть {{выдел|кастанье́тами}}, она вдруг быстро вскакивает, снова осыпает вас искрами."
5837,"Грин, 'Фанданго', 1927","Грянули, как поцелуй в сердце, крепкие струны, и в этот набега́ющий темп вошло сухое щёлканье {{выдел|кастанье́т}}."
5838,"'Вирус, который потряс мир' // Работница, 1989, НКРЯ","Чтобы не делать детям 18 уколов в день - три раза по шесть внутривенных инъекций - такова технология лечения, - им были введены специальные подключичные {{выдел|катетеры}}."
5839,"А. Н. Колмогоров, 'Математика', 1954, НКРЯ","Другая задача, связанная с т. н. теоремой Пифагора, известной в Вавилоне с древнейших времён, на определение {{выдел|катетов}} по данным гипотенузе и площади, представлялась трёхчленным уравнением с единственным положительным корнем."
5840,"Н. И. Лобачевский, 'Геометрические исследования по теории параллельных линий', 1840, НКРЯ","В прямоугольном треугольнике гипотенуза больше каждого из {{выдел|катетов}}, и прилежащие к ней углы острые."
5841,"А. В. Суворов, 'Наука побеждать', 1795, НКРЯ",Неприятельская {{выдел|кавалерия}} скачет на выручку своей пехоте.
5842,"С. М. Степняк-Кравчинский, 'Россия под властью царей', 1886, НКРЯ","В отношении тех узников, которых хотели наглухо заточить в {{выдел|казематы}}, кроме того, принимались ещё особые меры."
5843,"Герцен, 'Записки одного молодого человека', 1840","Раз в {{выдел|казино}} мечу я банк; русский князь, бросавший деньги горстями и делавший удивительные глупости, о которых, я полагаю, до сих пор говорят в Карлсбаде, подошёл к столу."
5844,"Чехов, 'Рассказ неизвестного человека', 1893","Я прогулялся по скверу, где играла музыка, зашёл в {{выдел|казино}}; тут я оглядывал разодетых, сильно пахнущих женщин, и каждая взглядывала на меня так, как будто хотела сказать: «Ты одинок, и прекрасно. …»"
5845,"Н. А. Тэффи, 'Два Вилли', 1911, НКРЯ","Вилли вспомнил, что она за последние дни проигралась в пух и прах и, как особа сильно темпераментная, так страшно кричала и стучала кулаками по столу и даже по соседям, что её попросили больше в {{выдел|казино}} не показываться."
5846,"Валентин Катаев, 'Алмазный мой венец', 1975-1977","Современному читателю может показаться странным, даже невероятным, что два советских гражданина запросто отправляются в {{выдел|казино}} играть в рулетку."
5847,"Достоевский, 'Братья Карамазовы', 1878-1880","— Друг мой, я хотел только тебя рассмешить, но, клянусь, это настоящая иезуитская {{выдел|казуистика}}, и, клянусь, всё это случилось буква в букву, как я изложил тебе."
5848,"Д. И. Фонвизин, 'Недоросль', 1782, НКРЯ","Отроду никого угостить не смыслит. Уж так {{выдел|рохлею}} родился, мой батюшка Милон."
5849,"К. М. Станюкович, 'Беспокойный адмирал', 1894, НКРЯ","Усердный служака, но далеко не моряк по призванию, нерешительный, трусливый и достаточно-таки {{выдел|рохля}}, он в присутствии адмирала совсем терялся, и робкая его душа замирала от страха, что ему «попадет»."
5850,"Д. И. Писарев, 'Писемский, Тургенев и Гончаров', 1861, НКРЯ","…он думает, что дело ждёт, а работники спят, так что приходится нанимать их за границею; спят они не потому, что их измучила работа, не потому, что их истомила жажда и пропекли жгучие лучи солнца, а потому, что - негодящий народ, лентяи, {{выдел|увальни}}, жиром заплыли!"
5851,"Н. В. Гоголь, 'Мертвые души', 1842, НКРЯ","Из этого журнала читатель может видеть, что Андрей Иванович Тентетников принадлежал к семейству тех людей, которых на Руси много, которым имена - {{выдел|увальни}}, лежебоки, байбаки и тому подобные."
5852,"Василь Быков, 'Бедные люди', 1998, НКРЯ","Открыл холодильник, где были кое-какие припасы: кусок колбасы в рыжей бумаге, бутылка {{выдел|кефира}}, несколько плоских банок консервов."
5853,"Достоевский, 'Село Степанчиково', 1859, НКРЯ","Если б его вздумали попросить посерьезнее довезти кого-нибудь версты две на своих плечах, то он бы, может быть, и довез: он был так добр, что в иной раз готов был решительно все отдать по первому {{выдел|спросу}} и поделиться чуть не последней рубашкой с первым желающим."
5854,"Фонвизин, 'Недоросль', 1782, НКРЯ",Да которая бестия без моего спросу отдаёт тебе письма!
5855,"Елена Новомлинская, 'Ситуация на рынке складских помещений' // Коммерсантъ-Daily, 1996, НКРЯ","На этом рынке цены за последний год более или менее стабильны, несмотря на то что {{выдел|спрос}} с 1993 года вырос вдвое."
5856,"Ольга Некрасова, 'Платит последний', 2000, НКРЯ","В коробке из-под торта лежали {{выдел|пупсики}} - и советские целлулоидные, и редкие в её детстве немецкие, и привезённые ею не так давно из Франции, которые оказались китайскими."
5857,"Виктор Славкин, 'Картина', 1982, НКРЯ","А у нас всё было: и фата, и машина с {{выдел|пупсиком}}, и загс…"
5858,"Ильф, Петров, 'Золотой теленок', 1931","Он переводил пуды на {{выдел|килограммы}}, {{выдел|килограммы}} - на старозаветные золотники, и каждый раз получалась такая заманчивая цифра, что нарушитель конвенции даже легонько повизгивал."
5859,"С.&#38;#160;Вишенков, 'Испытатели', 1947, НКРЯ","Ремни, выдержавшие на испытаниях сотни {{выдел|килограммов}} груза, лопнули, как бечёвки, и ещё через три-четыре секунды над лётчиком вспыхнул яркий купол парашюта."
5860,"Герцен, 'Былое и думы. Часть первая. Детская и университет', 1853-1860, НКРЯ","Мать моя была лютеранка и, стало быть, степенью религиознее; она всякий месяц раз или два ездила в воскресенье в свою церковь, или, как Бакай упорно называл, «в свою {{выдел|кирху}}», и я от нечего делать ездил с ней."
5861,"Татьяна Устинова, 'Подруга особого назначения', 2003, НКРЯ","Через двадцать пять минут самолёт коснулся колёсами серого бетона, сильно затормозил, как будто задирая хвост, и Варвара поняла, что прилетела в чужую страну, когда увидела крошечное чистенькое здание аэропорта, зелёные лужайки, шустрых автопогрузчиков, крест немецкой {{выдел|кирхи}} за редким леском и динамики сообщили, что за бортом плюс двенадцать градусов."
5862,"Виктор Пелевин, 'Чапаев и Пустота'","На противоположных концах эстрады появились две фигуры на высоких [[котурн]]ах, в длинных белых хламидах и греческих масках."
5863,"Мария Гусева, 'Скелет: извлекаем из шкафа и рассматриваем', 2002, НКРЯ","А ключица, соединенная с акромиальным отростком лопатки, служит рычагом, двигающим плечевой сустав."
5864,"Лев Толстой, 'Корова', 1875",И дети без молока целый год жили: один кисель и {{выдел|тюрю}} ели и стали худые и бледные.
5865,"В. К. Николаенко, И. Т. Бабанский, 'Не попадитесь в ловушку // «Химия и жизнь»', 1986, НКРЯ","{{выдел|Хлорид цезия}}, содержащий катионы сильного основания и анионы сильной кислоты, дает в растворе реакцию, близкую к нейтральной."
5866,"Е. А. Нифантьева, 'Организация комплексного исследования природного объекта учащимися (2003) // «Биология»', 2003, НКРЯ","Концентрации {{выдел|хлорид}}- и сульфат-ионов и ионов меди не вызывают опасений, так как не выходят за пределы ПДК."
5867,"Н. Д. Зелинский, Н. И. Гаврилов, 'Современное состояние вопроса о циклической природе связей аминокислот в молекуле белка', 1947, НКРЯ","Полученные из 2,5-дихлордигидропиразина (этот {{выдел|хлорид}} является производным энола дикетопиперазина) амидины со временем претерпевают десмотропную перегруппировку"
5868,"А. А. Данилова, 'Паразитарные болезни кожи'","Гнойнички, экссудативные изменения, образовавшиеся корки на волосистой части головы ссыхаются, способствуют слипанию волос и образованию {{выдел|колтуна}} (трихомы)."
5869,"П. И. Чайковский, 'Переписка с Н.Ф. фон-Мекк', 1880, НКРЯ","Певучий и согретый чудным {{выдел|тембром}} звук скрипки и виолончели представляется односторонним достоинством рядом с царем инструментов, а этот последний тщетно старается показать, что и он может петь, как его соперники."
5870,"И. С. Тургенев, 'Вешние воды', 1872, НКРЯ","И голос у него оказался такой, какого следовало ожидать: густой и самоуверенно-сочный, но не слишком громкий, с некоторой даже ласковостью в {{выдел|тембре}}."
5871,"Н. М. Карамзин, 'Письма русского путешественника', 1793, НКРЯ",По своей цветущей и обширной {{выдел|коммерции}} Франкфурт есть один из богатейших городов в Германии.
5872,"Н. С. Лесков, 'Житие одной бабы ', 1863, НКРЯ","Говорили, что он там {{выдел|коммерцией}} занимался: овес у лошадей выгребал да продавал; жеребца господского на гуменник выводил к крестьянским кобылам, - по полтиннику за лошадь брал."
5873,"И. Н. Скобелев, 'Рассказы русского инвалида', 1838-1844, НКРЯ","Женихи ищут невест богатых, сватовство - {{выдел|коммерция}}, без приданого брак - горе!"
5874,"П. И. Мельников-Печерский, 'На горах', 1875-1881, НКРЯ","- По нонешнему времени эта {{выдел|коммерция}} самая прибыльная - цены, что ни год, все выше да выше, особливо на икру."
5875,"Маяковский, 'Моё открытие Америки'","Единого расписания нет, так как главная цель этих линий не обслуживание пассажирских интересов, а доллар и конкуренция с соседним промышленником."
5876,"И. Э. Кио, 'Иллюзии без иллюзий', 1995-1999, НКРЯ","Мы получили право сами заключать {{выдел|контракты}}, много ездить, много работать"
5877,"Ф. И. Буслаев, 'Повесть о горе и злочастии, как Горе-Злочастие довело молодца во иноческий чин', 1856, НКРЯ","Все бедствия нашего героя начинаются с той минуты, как он, по совету друга, напился мертвецки пьян: пьянство - первое и естественное следствие {{выдел|неповиновения}} отцу и матери."
5878,"И. А. Гончаров, 'Обрыв', 1869, НКРЯ",Тема его состояла в изображении гибельных последствий страсти от {{выдел|неповиновения}} родителям.
5879,"М. Е. Салтыков-Щедрин, 'Современная идиллия', 1877-1883, НКРЯ","Ссор не терпел, {{выдел|неповиновения}} не только себе и поставленным от него начальникам, но и внутри самих семей - не допускал."
5880,"Марина Волкова, 'Князь с партбилетом // «Семья»', 2000, НКРЯ","В 18 лет Дмитрий Хилков стал {{выдел|корнетом}} лейб-гвардии гусарского полка, а в неполные 20 уже сражался за Родину в Русско-турецкой войне."
5881,"Лермонтов, 'Княгиня Лиговская', 1838, НКРЯ","а его самого отправить в главную квартиру… я только что был произведен в {{выдел|корнеты}}, и это была первая моя откомандировка."
5882,"П. А. Висковатый (Висковатов), 'Жизнь и творчество М. Ю. Лермонтова', 1842, НКРЯ","Принимая во внимание нравы времени, приходится быть более снисходительным к молодому {{выдел|корнету}}, платившему ему дань."
5883,"Писемский, 'Тюфяк', 1850, НКРЯ","Но честолюбивому {{выдел|корнету}} хотелось более ― ему хотелось попасть в тот заветный круг, в котором жили его друзья, посмотреть поближе на тех милых женщин, о которых они беспрестанно говорили и в которых были влюблены."
5884,"Б. А. Лавренев, 'Сорок первый', 1924, НКРЯ","Хвост во все стороны машет, камертон тон задает, указывает {{выдел|корнетам}} и тромбонам, когда вступать, а зазевается музыкант ― тотчас камертон по лбу."
5885,"Г. И. Чулков, 'Императоры: Психологические портреты', 1928, НКРЯ","Александр Александрович сначала играл на {{выдел|корнете}}, а потом, когда оркестр увеличился, заказал себе огромный медный геликон."
5886,"М. М. Щербатов, 'О повреждении нравов в России', 1786-1787, НКРЯ","Повелел он бороды брить, отменил старинные русские одеяния и вместо длинных платьев заставил мужчин немецкие кафтаны носить, а женщин вместо телогреи ― бостроги, юбки, шлафроки и самары, вместо подколков фантанжами и {{выдел|корнетами}} голову украшать."
5887,"М. М. Морозов, 'Вильям Шекспир', 1951, НКРЯ","{{выдел|Бархат}}, из которого были сшиты их короткие плащи, ― темно-алого цвета, цвета французского вина, ― продавался у купцов, привезших его из Лиона, за три фунта стерлингов за ярд."
5888,"Лев Корнешов, 'Газета', 2000, НКРЯ","В изголовье, на тумбочке, затянутой в тёмно-бордовый {{выдел|бархат}}, стоит портрет Маревой с чёрной лентой наискось."
5889,Сергей Есенин,"Спит ковыль. Равнина дорогая,// И свинцовой свежести полынь."
5890,"Пушкин, 'Капитанская дочка'","В самом деле тулуп, из которого успел и я вырасти, был немножко для него узок."
5891,Даль,"Уж ныне все горничные растопырились, ходят в кринолинах."
5892,"Чехов, 'Брак через 10-15 лет', 1885, НКРЯ","А давно ли, читатель, невесты ходили в кринолинах, а женихи щеголяли в полосатых брюках и во фраках с искрой?"
5893,"М. П. Бронштейн, 'Солнечное вещество', 1936, НКРЯ","Рамзай решил назвать этот газ {{выдел|криптоном}}. {{выдел|Криптон}} - по-гречески значит «скрытый». Когда-то Рамзай собирался назвать {{выдел|криптоном}} гелий, но так. как у гелия уже было имя, которое дал ему астроном Локьер, - имя «{{выдел|криптон}}» пригодилось для нового газа."
5894,"С. А. Диомидов, 'Указатель порядка архиерейских служений', 1915, НКРЯ","Затем ключарь приглашает, чтобы женщины вышли из алтаря... Подает святое {{выдел|миро}}. Архиерей помазует крестообразно сначала трапезу в тех местах, где во время литургии стоит евангелие, дискос и потир."
5895,"Александр Зиновьев, 'Русская судьба, исповедь отщепенца', 1988-1998, НКРЯ","Я видел в происходящем то, на что не обращали внимания другие, а именно нелепость, {{выдел|уродливость}} и вместе с тем чудовищную заурядность происходившего."
5896,"Сергей Михалков, 'Дядя Стёпа'",Брал в столовой дядя Стёпа // Для себя двойной обед. // Спать ложился дядя Стёпа — // Ноги клал на табурет.
5897,"Алексей Иванов, 'Географ глобус пропил', 2002, НКРЯ",На кухне он грузно уселся на табуретку и закурил.
5898,"Евгений Коваленко, 'Поговорить с дельфином', 2003, НКРЯ","Мы выскочили на мостки, смотрим: в воде {{выдел|круговерть}}, что происходит - не понятно."
5899,"Владимир Мялин, 'Втихаря зашёптывая смерть...', 2011","Втихаря зашёптывая смерть, - // Не синяк, не ссадину, не рану, - // Вспоминаешь мельниц {{выдел|круговерть}} // И в подушках стихшего Кихано..."
5900,"Юрий Башмет, 'Вокзал мечты', 2003, НКРЯ","Вернулись домой, а у меня опять {{выдел|круговерть}} поездок."
5901,"Павел Крижевский, Василий Голышев, 'Синтезировано антивещество' // Коммерсантъ-Daily, 1996, НКРЯ",За трёхнедельный срок в результате столкновения между антипротонами и атомами {{выдел|ксенона}} образовались девять атомов антивещества.
5902,"'Продольный высокочастотный разряд в смеси ксенона с хлором' // Журнал технической физики, 2004, НКРЯ",Изучалась динамика протекания тока и излучения разряда в смесях {{выдел|ксенона}} с хлором при разных давлениях и составах рабочей среды.
5903,"Юрий Нечетов, 'Духи благосклонны' // За рулём, 2004, НКРЯ",Лучи голубого {{выдел|ксенона}} навылет пробивают предрассветные сумерки и лучше любой «мигалки» расчищают левую полосу
5904,"Чехов, 'Каштанка'","У незнакомца не пахнет ничем, у столяра же в квартире всегда стоит туман и великолепно пахнет клеем, {{выдел|лаком}} и стружками."
5905,"'Top 10 культовых автомобилей' // Хулиган, 2003, НКРЯ","А еще с Tin Lizzy (это ласковое погоняло «Форда-Т», типа как у нас «копейка» или «{{выдел|горбатый}}») в мире началось конвейерное производство автомобилей."
5906,"Павел Репин, Мария Белоклокова, '«Запорожец» становится пределом мечтаний «Новых русских»' // Известия, 2002, НКРЯ","Игорь Елисеев, владелец «Запорожца» ЗАЗ-965 1967 года выпуска, на аукционе в Благовещенске снял свой автомобиль с торгов, после того как за несколько минут цена на «{{выдел|горбатый}}» со ста долларов возросла почти до тысячи."
5907,"В. В. Крестовский, 'Панургово стадо', 1869, НКРЯ","Это, по-видимому, ничего не значащее и самое естественное движение показалось опытному {{выдел|доке}} весьма подозрительным: оно навело его на пущее подозрение, что в боковом кармане Полоярова должно быть что-то не ладно…"
5908,"П. Д. Боборыкин, 'Василий Теркин', 1892, НКРЯ","- Антон Пантелеич - агроном с отличными познаниями. По лесоводству - {{выдел|дока}}. - Конечно, конечно, он много знает практически, - заметил Первач."
5909,"Елена Хаецкая, 'Синие стрекозы Вавилона / Прах', 1997, НКРЯ","А мать сидела, зажав между колен ручную {{выдел|кофемолку}}, и терпеливо вертела ручку."
5910,"Елена и Валерий Гордеевы, 'Не все мы умрем', 2002, НКРЯ","Они собрали жёлуди, высушили их в духовке, размололи в старинной ручной {{выдел|кофемолке}} и пили горький напиток войны, но ей он казался необыкновенно вкусным."
5911,"Инка, '2004', НКРЯ","Инка выполняет рабочие обязанности механически, как {{выдел|кофемолка}}, кофеварка или кофемашина."
5912,"Гоголь, 'Размышления о Божественной Литургии', 1847","Словом: не введи нас во '''искушение''', мы просим о избавлении нас от всего смущающего дух наш и отъемлющего у нас душевное спокойствие."
5913,"Евангелие от Марка: синодальный перевод, '1816—1862'","Бодрствуйте и молитесь, чтобы не впасть в '''искушение''': дух бодр, плоть же немощна."
5914,"Антоний (Блум), митрополит Сурожский, 'О молитве Господней', 1987","'''«Искушение»''' по-славянски значит две вещи: во-первых, то, что мы называем '''искушением''', то есть то, что побеждает нас своим соблазном; и во-вторых, испытание."
